Code,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
pibgre,0,273,0,0,0,0,0,0,11,0,0,0,0
horgre,0,1521,0,44,0,0,37,0,22,0,0,0,0
rengre,0,365,0,45,0,0,18,0,3,0,0,0,0
eargre,0,6,0,0,0,0,0,0,0,0,0,0,0
wesgre,0,302,0,0,0,0,0,0,0,0,0,0,0
clagre,0,0,0,0,0,0,0,0,0,0,0,0,0
x00427,0,0,0,0,0,0,0,0,0,0,0,0,0
rocpig,1127,3655,718,903,389,0,1720,0,15923,70,12239,1098,0
cowpig1,0,0,0,0,0,0,0,0,0,0,0,0,0
batpig1,0,5,0,0,0,0,0,0,0,0,0,0,0
paspig,0,0,0,0,0,0,0,0,0,0,0,0,0
ortdov,0,0,0,0,0,0,0,0,0,0,0,0,0
eucdov,64,851,56,0,0,0,3,0,0,0,0,38,0
afcdov1,0,0,0,0,0,0,0,0,0,0,0,0,0
spodov,0,0,0,0,0,0,0,0,0,0,0,0,0
laudov1,0,0,0,0,0,0,0,0,0,0,0,0,0
incdov,0,0,0,0,0,0,0,0,0,0,0,0,0
cogdov,0,0,0,0,0,0,0,0,0,0,0,0,0
whwdov,0,0,0,0,0,0,0,0,0,0,0,0,0
moudov,0,195,0,412,62,0,1504,0,6993,55,4049,0,0
grbani,0,0,0,0,0,0,0,0,0,0,0,0,0
yebcuc,0,0,0,0,0,0,0,0,0,0,0,0,0
bkbcuc,0,0,0,0,0,0,0,0,0,0,0,0,0
comcuc,0,0,0,0,0,0,0,0,0,0,0,0,0
lesnig,0,0,0,0,0,0,0,0,0,0,0,0,0
comnig,0,0,0,0,0,0,0,0,0,0,0,0,0
compoo,0,0,0,0,0,0,0,0,0,0,0,0,0
chwwid,0,0,0,0,0,0,0,0,0,0,0,0,0
easwpw1,0,0,0,0,0,0,0,0,0,0,0,0,0
blkswi,0,0,0,0,0,0,0,0,0,0,0,0,0
whcswi,0,0,0,0,0,0,0,0,0,0,0,0,0
chiswi,0,0,0,0,0,0,0,0,0,0,0,0,0
vauswi,0,0,0,0,0,0,0,0,0,0,0,0,0
comswi,0,0,0,0,0,0,0,0,0,0,0,0,0
fotswi,0,0,0,0,0,0,0,0,0,0,0,0,0
whtswi,0,0,0,0,0,0,0,0,0,0,0,0,0
grnvie1,0,0,0,0,0,0,0,0,0,0,0,0,0
maghum1,0,0,0,0,0,0,0,0,0,0,0,0,0
amthum1,0,0,0,0,0,0,0,0,0,0,0,0,0
rthhum,0,0,0,0,0,0,0,0,0,0,0,0,0
bkchum,0,0,0,0,0,0,0,0,0,0,0,0,0
annhum,0,1462,0,0,0,0,0,0,0,0,0,0,0
x00651,0,0,0,0,0,0,0,0,0,0,0,0,0
coshum,0,0,0,0,0,0,0,0,0,0,0,0,0
calhum,0,0,0,0,0,0,0,0,0,0,0,0,0
rufhum,0,0,0,0,0,0,0,0,0,0,0,0,0
x00738,0,0,0,0,0,0,0,0,0,0,0,0,0
x00626,0,0,0,0,0,0,0,0,0,0,0,0,0
brthum,0,0,0,0,0,0,0,0,0,0,0,0,0
brbhum,0,0,0,0,0,0,0,0,0,0,0,0,0
xanhum,0,0,0,0,0,0,0,0,0,0,0,0,0
kinrai4,0,0,0,0,0,0,0,0,0,0,0,0,0
clarai11,0,0,0,0,0,0,0,0,0,0,0,0,0
virrai,0,18,0,0,0,0,0,0,0,0,0,0,0
corcra,0,0,0,0,0,0,0,0,0,0,0,0,0
sora,0,4,0,0,0,0,0,0,0,0,0,0,0
comgal1,0,0,0,0,0,0,0,0,0,0,0,0,0
eurcoo,0,0,0,0,0,0,0,0,0,0,0,0,0
y00475,19,10469,1,1,4,0,4,0,132,0,0,0,0
purgal2,0,0,0,0,0,0,0,0,0,0,0,0,0
yelrai,0,0,0,0,0,0,0,0,0,0,0,0,0
blkrai,0,0,0,0,0,0,0,0,0,0,0,0,0
limpki,0,0,0,0,0,0,0,0,0,0,0,0,0
demcra1,0,0,0,0,0,0,0,0,0,0,0,0,0
sancra,0,20,0,0,0,0,0,0,3730,0,1,0,0
comcra,0,0,0,0,0,0,0,0,0,0,0,0,0
whocra,0,0,0,0,0,0,0,0,0,0,0,0,0
bknsti,0,0,0,0,0,0,0,0,0,0,0,0,0
ameavo,0,2,0,0,0,0,0,0,0,0,0,0,0
x00732,0,0,0,0,0,0,0,0,0,0,0,0,0
euroys1,0,0,0,0,0,0,0,0,0,0,0,0,0
ameoys,0,0,0,0,0,0,0,0,0,0,0,0,0
blkoys,0,814,0,0,0,0,0,0,0,0,0,0,0
bkbplo,0,894,0,0,0,0,8,0,0,0,0,0,0
eugplo,0,0,0,0,0,0,0,0,0,0,0,0,0
amgplo,0,0,0,0,0,0,0,0,0,0,0,0,0
pagplo,0,0,0,0,0,0,0,0,0,0,0,0,0
norlap,0,0,0,0,0,0,0,0,0,0,0,0,0
lesplo,0,0,0,0,0,0,0,0,0,0,0,0,0
snoplo5,0,0,0,0,0,0,0,0,0,0,0,0,0
wilplo,0,0,0,0,0,0,0,0,0,0,0,0,0
corplo,0,0,0,0,0,0,0,0,0,0,0,0,0
semplo,0,0,0,0,0,0,0,0,0,0,0,0,0
pipplo,0,0,0,0,0,0,0,0,0,0,0,0,0
killde,0,219,0,0,0,0,1,0,6,0,0,0,0
mouplo,0,0,0,0,0,0,0,0,0,0,0,0,0
eurdot,0,0,0,0,0,0,0,0,0,0,0,0,0
uplsan,0,0,0,0,0,0,0,0,0,0,0,0,0
brtcur,0,0,0,0,0,0,0,0,0,0,0,0,0
whimbr,0,0,0,0,0,0,0,0,0,0,0,0,0
eskcur,0,0,0,0,0,0,0,0,0,0,0,0,0
lobcur,0,0,0,0,0,0,0,0,0,0,0,0,0
faecur,0,0,0,0,0,0,0,0,0,0,0,0,0
slbcur,0,0,0,0,0,0,0,0,0,0,0,0,0
eurcur,0,0,0,0,0,0,0,0,0,0,0,0,0
batgod,0,0,0,0,0,0,0,0,0,0,0,0,0
bktgod,0,0,0,0,0,0,0,0,0,0,0,0,0
hudgod,0,0,0,0,0,0,0,0,0,0,0,0,0
margod,0,6,0,0,0,0,0,0,0,0,0,0,0
rudtur,0,0,0,0,1,0,16,0,0,0,0,0,0
blktur,0,757,0,0,0,0,0,0,0,0,0,0,0
redkno,0,0,0,0,0,0,0,0,0,0,0,0,0
surfbi,0,167,0,0,0,0,0,0,0,0,0,0,0
ruff,0,0,0,0,0,0,0,0,0,0,0,0,0
shtsan,0,0,0,0,0,0,0,0,0,0,0,0,0
stisan,0,0,0,0,0,0,0,0,0,0,0,0,0
cursan,0,0,0,0,0,0,0,0,0,0,0,0,0
temsti,0,0,0,0,0,0,0,0,0,0,0,0,0
spbsan1,0,0,0,0,0,0,0,0,0,0,0,0,0
rensti,0,0,0,0,0,0,0,0,0,0,0,0,0
sander,0,100,0,0,0,0,223,0,0,0,0,0,0
dunlin,0,50820,0,0,0,0,36,0,2,0,0,0,0
rocsan,0,1,0,0,0,0,0,0,0,0,0,0,0
